Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Vps20,0.558071669,#VALUE!,0.707259728,0.649937299,#VALUE!,0.337996464,0.334110568,0.135272179,0.516620347,0.411860074,0.406971971,0.432531879
,-0.109343193,#VALUE!,-0.002180116,0.114766793,#VALUE!,0.342213373,-0.277936237,#VALUE!,-0.367303693,-0.167652744,-0.050442656,-0.156032231
qsm,#VALUE!,0.535455799,#VALUE!,1.531319072,#VALUE!,0.366364183,0.270110276,0.602076748,#VALUE!,0.927593096,0.535356259,0.290188457
Dg,0.778460921,-1.505983842,1.053180862,#VALUE!,#VALUE!,0.371614618,-0.958168283,-0.7154148,-0.293465027,-0.066608654,#VALUE!,0.237686079
PDCD-5,-0.607177036,-0.103503383,#VALUE!,0.162983392,#VALUE!,0.374622206,-0.600730451,-0.466795501,0.44148348,0.41921526,0.323312418,0.258940968
LSm-4-RB,-0.713071552,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.381061828,-0.471168669,-0.075626427,#VALUE!,0.43839932,#VALUE!,0.702391584
bl,0.724301014,#VALUE!,0.266876472,0.661293556,#VALUE!,0.396817103,-0.064479905,-0.662688523,#VALUE!,#VALUE!,0.291367804,0.446467986
,1.003170443,#VALUE!,0.688493711,0.201633861,#VALUE!,0.437760394,0.522457558,0.626298949,0.480368537,0.42739163,0.370499103,0.217354814
CREG,-0.079401803,0.094100916,0.318114344,0.12154595,0.205142241,0.47019844,-0.213152756,-0.318379825,0.313245852,0.498250868,#VALUE!,-0.052879983
BM-40-SPARC,-0.645141663,#VALUE!,0.458906907,#VALUE!,#VALUE!,0.482228746,-0.364849276,-0.236690416,#VALUE!,-0.135506774,-0.017358646,0.17466208
Ntf-2,0.948301812,1.415055533,1.566133213,1.13553487,#VALUE!,0.48357074,1.085560625,#VALUE!,1.435308552,1.493391151,1.428839177,1.484292836
CG18812-RA;CG18812,#VALUE!,1.856428019,-0.187920782,#VALUE!,0.247806018,0.513793907,#VALUE!,#VALUE!,-0.162250476,0.10433666,#VALUE!,0.137634672
CG5706,-1.544813521,-1.792956777,0.104739216,0.337425664,#VALUE!,0.527070336,-1.810915556,-1.877897184,-0.993206499,-0.875830703,-1.785129166,-1.316887478
Cpr30B,-3.693481097,-3.613008107,0.445302942,0.322851124,#VALUE!,0.534260856,-3.43147362,-3.478523052,0.439782689,0.806117796,0.985281824,0.90565897
NHP2,-0.287835662,-0.656740008,1.254775427,0.209515751,#VALUE!,0.541019153,-0.450222416,-0.392099232,0.88041126,0.136978812,-0.120984383,0.163627539
,1.21896711,1.048724443,0.584577731,0.69937395,#VALUE!,0.586692697,1.251264629,0.665028868,0.759667186,1.043974365,0.60245688,0.528071165
CG33054-RB,0.225768496,0.618802465,0.092072095,-0.231498053,#VALUE!,0.59645814,0.882290891,0.920826827,0.311851831,-0.222026985,0.375734539,0.206643224
,0.44858384,#VALUE!,0.965765818,0.878529177,#VALUE!,0.638398262,0.45037988,-0.004797716,-0.065023117,1.10962801,#VALUE!,0.617486566
Lsd-1,-1.712929659,-1.816545246,-0.969791068,-0.777764223,#VALUE!,0.644963754,-1.586665886,-1.60235035,-0.653854367,-0.676157277,0.032524066,0.014069583
bun,#VALUE!,-0.122711203,0.642100805,0.684280151,#VALUE!,0.665210831,0.30987466,0.100708589,0.661111098,0.620492574,#VALUE!,0.74278234
,-0.677171944,-0.137504966,-0.105597405,0.232537969,#VALUE!,0.714399397,-0.078792203,-0.675212434,0.374399637,0.547745939,0.273933569,0.534460082
Fdxh,#VALUE!,#VALUE!,1.350893227,1.38758312,#VALUE!,0.720015735,2.241657166,#VALUE!,#VALUE!,#VALUE!,1.830295894,1.881664619
