Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
Dsk,#VALUE!,1.754716506,0.175939705,#VALUE!,#VALUE!,#VALUE!,-0.031415221,#VALUE!,#VALUE!,-0.60191236
,0.726656863,-2.630483264,-0.976560108,#VALUE!,-1.535540834,-0.183310192,#VALUE!,-0.623776307,#VALUE!,-0.598522439
,-1.953048022,-1.275262427,-1.262953617,-1.734803173,-1.085956012,-1.105597405,#VALUE!,-0.659380765,#VALUE!,-0.586081023
Sodh-2,-0.907034872,-0.567339849,-0.564712786,-0.638546036,-0.581281116,#VALUE!,-0.809018587,-0.483137645,#VALUE!,-0.576109929
Pdcd4,-1.339381654,-1.151458178,-0.872604438,-0.917597152,-0.768543014,-1.411041963,-0.967955596,#VALUE!,#VALUE!,-0.548037234
anon-35F/36A,-0.264720458,-0.396688189,#VALUE!,#VALUE!,-0.248364897,-0.59847875,-0.123041104,0.1728715,-0.591527249,-0.543067719
svr,-0.192414265,-0.381122377,-0.246275672,-0.33599055,#VALUE!,-0.128629444,-0.112271986,#VALUE!,#VALUE!,-0.539309851
CG16912,-0.130649716,-0.214826126,0.006764782,#VALUE!,-0.157254431,#VALUE!,-0.706511798,-0.310808207,-0.47282955,-0.538639084
Mtl,#VALUE!,-0.596972292,#VALUE!,-0.461144032,#VALUE!,-0.623687387,#VALUE!,-0.076980164,#VALUE!,-0.528677253
,-0.62215439,-0.108565259,-0.09873726,-0.168965928,-0.505062195,-0.174132982,-0.120404008,-0.059780618,#VALUE!,-0.509203985
Idgf1,#VALUE!,0.358846331,0.016638942,0.323658291,#VALUE!,0.175173266,0.112900262,0.520447393,#VALUE!,-0.506660091
twf,-0.794632512,-1.20114487,0.2083924,-0.599549509,-1.331554059,-1.320125852,-0.645615547,-0.695582415,#VALUE!,-0.496366316
CkIIbeta,0.75787666,#VALUE!,0.287590496,-0.055666266,#VALUE!,-0.460568189,-0.265656722,0.192446694,#VALUE!,-0.481485003
,-0.114097699,-0.337776267,-0.266454759,-0.107601202,-0.082636991,-0.505164571,0.943883829,#VALUE!,-0.658993455,-0.479653188
RanBP3,-1.24779948,-1.389035421,-0.631823934,#VALUE!,-1.280019299,-1.139426475,-0.636010366,-0.928319694,#VALUE!,-0.478527073
CadN,-0.497384248,-0.797864419,0.369941022,0.044464067,-0.474331993,0.061707085,0.107286135,-0.105690543,#VALUE!,-0.457672603
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.747390574,-1.550465037,-0.696868063,-0.421032313
,-1.063167987,-1.366652494,-1.121047141,-1.753506783,-0.734851192,-1.263819445,-1.147809349,-1.056731268,#VALUE!,-0.377107122
