Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
ppl,4.8438,1.9037,3.7008,1.5163,1.95665,4.9062,1.42435,1.61635
,0.62802,0.81876,0.63611,2.150895,0.85917,0.524225,0.752705,0.79939
Reg-2,0.97247,0.50446,0.934845,0.41437,0.392185,1.08202,0.430515,0.406425
Vps35,0.175645,0.21719,0.19428,0.28241,0.17423,0.247455,0.260005,0.228145
BcDNA.GH11322,1.85,1.0524,2.13305,1.00908,0.77712,2.05375,0.94918,0.824685
me31B,0.309385,0.337665,0.297765,0.450825,0.330135,0.233875,0.389365,0.332905
CG16935,0.94787,0.56344,0.86658,0.509235,0.44191,1.00555,0.523965,0.506485
,1.04987,1.6538,1.206385,1.3871,1.5739,1.16265,1.76025,1.5951
,2.4895,2.5228,2.11805,2.40535,2.6862,1.8193,2.564,2.9332
,5.162,1.98535,3.6288,1.81255,1.30935,4.83675,1.8311,1.5299
Gycbeta100B,0.267795,0.33444,0.031731,0.25087,0.26267,0.4744,0.28082,0.26496
Tom40,0.744265,1.15745,0.830325,1.15665,1.1566,0.70914,1.0901,1.2829
Clic,0.47815,0.92987,0.495485,0.994995,0.959215,0.516425,0.98783,0.894525
,2.579,1.1747,2.37915,1.18835,1.2611,2.8416,1.62595,1.4171
CG5009,0.25916,0.63219,0.339015,0.40733,0.396465,0.29339,0.39801,0.36471
rtp,0.556595,0.476865,0.604935,0.54846,0.428265,0.649225,0.45554,0.483375
CG4038,1.106765,1.7389,1.179625,1.96915,1.63265,1.08535,1.48495,1.5603
eIF-3p40,0.24433,0.335785,1.276905,0.440345,0.441555,0.196355,0.38997,0.407705
CG11334,0.679325,0.559705,0.62731,0.59601,0.561895,0.660515,0.567115,0.51967
drk,1.37425,1.7217,1.24725,1.58435,1.48655,1.17065,1.67475,1.55915
Rab14,1.3386,1.62275,1.32585,1.7583,1.60315,1.4621,1.7425,1.57885
Mipp1,1.6132,1.51425,1.56865,1.30825,1.5009,1.5856,1.4809,1.5237
Clect27,0.64469,2.18565,0.60044,2.0754,2.7137,0.587395,2.17115,2.84165
Gl,0.340805,0.898545,0.415655,0.387555,0.35765,0.35605,0.40779,0.48391
sm,0.392285,0.55943,0.321505,0.48689,0.66981,0.361615,0.43051,0.69586
SrpRbeta,0.39241,0.62985,0.405695,0.80566,0.60118,0.39554,0.70451,0.58769
Mo25,0.73618,0.893675,0.70617,0.90074,0.80813,0.684245,0.96541,0.89009
,0.96619,0.88455,0.94426,0.90772,0.66922,0.953225,0.95625,0.753925
Tsp42Ea,1.5772,1.07545,1.59625,1.22485,1.066595,1.2242,0.94522,0.93273
CG7048,0.78752,1.4461,0.70399,1.57305,1.7836,0.629295,1.83375,1.956
Slh,0.5089,0.53877,0.32965,0.88969,0.35487,0.3024,0.41944,0.383705
LanB2,0.11955,0.186795,0.16024,0.146915,0.12678,0.126995,0.14268,0.16979
snf,1.65035,2.39115,1.54345,2.48655,2.79915,1.5114,2.145,2.6955
Mtor,1.649655,0.628885,0.392255,0.447145,0.29614,0.30136,0.432875,0.395405
l(3)03670,4.0304,2.30415,3.44095,2.0906,1.9648,3.88045,2.3236,2.2005
Cpr64Ad,0.552655,1.59675,0.71776,1.41155,1.55295,0.22535,1.57295,1.43805
,1.14175,0.78567,0.980655,0.597255,0.677715,4.0974,0.742135,1.23294
,7.7813,2.65495,#DIV/0!,2.663,1.5471,8.8567,2.25785,1.57465
,0.671505,0.78609,0.551365,0.746385,0.67774,0.72353,0.88107,0.75246
Ptp69D,1.2796,1.46185,0.66309,1.3591,1.5312,0.96436,1.47195,1.2028
,0.837805,0.574865,0.96666,0.54719,0.473275,0.970575,0.527075,0.483545
Rbp2,0.8365,1.43125,0.880835,1.67755,1.70195,0.824405,1.33855,1.5414
up,1.82885,1.9424,1.7961,2.01965,2.10735,1.68695,2.38945,2.15195
,10.811,1.654,10.9,1.45,1.2702,12.2685,1.55825,1.35035
,3.79255,2.11845,2.9824,2.01745,2.26135,3.5866,2.61035,2.6452
,0.701085,0.97156,0.67175,0.93831,0.613485,1.00274,0.807055,0.637635
Cp190,0.4073,0.65141,0.44361,0.49961,0.52018,0.50381,0.68335,0.58006
,0.413355,0.62883,0.457945,0.69176,0.66777,0.43359,0.659735,0.67103
l(2)03709,1.5978,1.46485,1.5445,1.53815,1.49495,1.466,1.54105,1.53145
CG9297-RA,1.0911,0.99671,1.117315,0.998385,0.920155,1.007755,1.0361,0.99699
Ance,0.31344,0.867855,0.356545,0.9587,0.91205,0.30251,1.34035,0.916865
BcDNA.GH02384,1.8807,1.72935,1.55795,1.7881,1.87455,1.29395,2.60085,1.66335
Zasp66,0.94325,1.41685,0.80434,1.45195,1.319,0.72777,1.48715,1.4598
4-Sep,0.41389,0.63139,0.5863,0.45931,0.421465,0.478855,0.55787,0.40086
,0.5021,0.542815,0.53626,0.52112,0.443525,0.643915,0.5746,0.4529
,0.81442,1.0348,0.7813,#DIV/0!,1.3641,0.50966,1.2638,1.1128
,1.48725,0.638195,1.0858,0.48142,0.51282,0.76744,0.63337,0.53486
pain,0.32094,3.1648,0.680885,0.53212,0.211445,2.188795,0.31654,0.446415
Rpi,0.709155,1.1937,0.707785,1.017385,1.4268,0.606,1.006055,1.1338
Nmt,0.268885,0.7532,0.293065,0.677925,0.76348,0.272655,0.967475,0.739365
Uch-L5,0.54756,1.1516,0.572555,1.1197,1.19755,0.552925,1.1594,1.40395
l(1)G0255,0.81227,0.531115,0.77616,0.583095,0.55111,0.856015,0.638065,0.550255
anon-84Ea,0.929455,1.063265,0.816805,0.96774,1.1133,0.846945,1.03607,1.22425
wdb,0.37719,0.476695,0.338485,0.46108,0.397475,0.37714,0.542695,0.439215
jdp,0.91499,1.2404,1.1046,1.35365,0.830115,1.3995,1.010565,0.78765
trsn,1.1291,1.78885,1.21485,1.79575,1.86835,1.20435,#DIV/0!,1.94215
sls,0.208615,0.22863,0.32648,0.21709,0.21762,0.308375,0.326525,0.254655
B52,1.11875,2.08765,1.2024,2.08985,1.98615,1.21385,2.0054,2.27105
CG18624-RB,2.9806,1.9814,2.2252,1.80515,1.7029,3.03685,2.2088,1.88835
nec,2.18345,2.0829,1.9748,1.896,1.4729,2.1693,1.9375,1.4603
Adgf-D,0.9108,1.3006,1.01415,1.0729,0.937705,0.94551,1.04435,1.1003
,2.43035,1.61825,4.29635,1.4055,1.0874,1.93195,1.2775,1.1152
Obp99b,0.26332,1.38895,0.21092,1.7898,4.7134,0.27676,3.16775,4.774
,1.8524,1.1538,1.3877,1.005725,1.012265,1.8346,2.056355,1.36546
se,0.618375,2.33125,0.559895,2.2194,4.56335,0.680215,2.45305,5.8357
Pdsw,2.9342,1.81495,2.28115,1.8234,1.83015,2.76895,2.3353,1.8969
eIF3-S6,0.199045,0.378845,0.268225,0.506405,0.483345,0.2036,0.52398,0.47669
Idgf2,0.471845,0.73334,0.4308,0.728075,0.5796,0.437585,0.78037,0.594785
PRL-1,0.929135,1.21185,0.944665,1.274,0.961485,0.997065,1.1514,1.029635
Pcd,1.01845,1.58935,1.12443,1.2502,1.64545,0.948405,1.3569,1.46105
Uba1,0.5359235,0.183125,0.0696885,0.14438,0.139395,0.1438745,0.12075,0.139335
Pep,0.29942,0.640935,0.301945,0.624065,0.55587,0.326295,0.589695,0.618335
sun,3.27865,1.94165,3.22245,1.94595,1.6417,2.39925,1.70055,1.60425
Ubqn,1.9115,2.8467,1.5844,2.3112,2.45755,1.5984,2.4029,2.25895
nonA,0.8619,1.58085,0.822775,1.621,1.66525,0.982215,1.5403,1.7361
,0.85584,0.32452,0.9731,0.2545,0.21177,0.957555,0.25827,0.213945
,0.8696,0.525355,0.839815,0.53649,0.483035,0.889995,0.588435,0.518745
awd,1.4229,1.3181,1.3556,1.33385,1.412,1.2281,1.229,1.33075
,1.0185,0.959235,1.10014,1.03442,0.932825,0.97095,1.014405,0.96508
Tim10,1.8014,1.98235,1.5437,2.129,2.19865,1.71725,2.2138,2.1261
Cpr64Aa,0.33699,1.708,0.146885,1.67995,2.31275,0.159855,2.23105,2.4473
,1.106735,0.815195,0.65356,1.4642,0.64849,0.78152,0.81128,0.71374
Rpn9,0.420635,0.969235,0.414925,1.08195,1.078675,0.405835,1.02975,1.03895
Scsalpha,0.99224,0.613345,1.00207,0.6366,0.558185,1.11765,0.67892,0.56417
Vha16-1,1.36225,1.5235,2.0354,1.96665,1.55635,2.0789,2.03625,1.52185
Got1,1.9618,1.209,2.24155,1.0619,1.1107,2.3659,1.02655,1.1115
Lsp1beta,0.50446,1.57595,0.764985,2.6591,3.347,0.267235,2.76215,3.1452
REG,0.617625,1.369,0.932045,1.4515,1.3911,0.775205,1.3685,1.30705
Arr2,0.421005,0.424535,0.605115,0.48879,0.419955,0.576465,0.423525,0.434575
Manf,1.1937,1.58005,1.00715,1.47395,1.78165,1.1242,1.73545,1.89945
CG12264,0.817755,0.65319,0.74476,0.61586,0.481025,0.84588,0.71766,0.591065
Nplp2,0.99014,0.718055,0.98574,0.75228,1.16945,1.314,0.915695,0.81847
CSN8,0.91556,1.2021,0.69119,1.0038,1.3587,0.73923,#DIV/0!,1.21945
shot,0.150645,0.201435,0.12223,0.192525,0.137155,0.12432,0.229835,0.170925
Sucb,0.3892,0.587025,0.345735,0.65437,0.602765,0.37515,0.603665,0.633625
capt,0.39199,0.72308,0.3594,0.709155,0.62542,0.372895,0.704915,0.655395
VhaAC39-1,0.497615,0.492655,0.590195,0.46181,0.366455,0.530155,0.46714,0.41873
Hsc70-4,0.252945,0.498395,0.2467,0.51026,0.46864,0.26443,0.501095,0.475605
CG8386,1.0689,1.18675,0.69281,1.30775,1.21335,0.853455,1.03733,1.16095
,2.6366,2.28045,2.27325,2.09825,2.1563,2.1524,2.11475,2.17255
Pros26,0.727075,1.35955,0.807655,1.42,1.52075,0.65648,1.5864,1.5995
l(1)G0230,4.35975,1.78635,3.27135,1.72795,1.86365,3.0997,2.0071,1.8448
tomosyn,0.34812,0.462105,0.43921,0.35583,0.265625,0.57486,0.240775,0.38196
stnA,2.0747,1.67745,2.2301,1.80065,1.41055,1.7848,1.4986,1.49375
,#DIV/0!,0.49296,#DIV/0!,0.24953,0.28995,0.479015,#DIV/0!,0.29181
CG2263,0.99942,1.36445,1.00579,1.4076,1.33495,0.99674,1.3765,1.3788
Cyt-b5,1.391,1.4419,1.36305,1.44655,1.3877,1.22075,1.5652,1.40835
coro,0.220665,0.625505,0.26939,0.701575,0.770645,0.2261,0.713895,0.7898
yellow-c,1.42085,3.6317,1.29395,3.35075,3.7544,1.23015,3.78425,3.955
l(1)G0289,1.63125,2.4003,2.76205,2.139,2.1393,1.26395,2.13725,2.2023
Pros35,0.56878,1.0943,0.58495,1.27315,1.2773,0.54444,1.274,1.38755
CAP,0.56016,0.599265,0.64274,0.64712,0.576,0.64797,0.55211,0.590495
Letm1,1.989,1.77915,1.887,1.8124,1.6333,2.0419,1.6832,1.69105
Pros25,0.756045,1.60895,0.75983,1.5236,1.89205,0.74014,1.72265,1.74945
Dpt,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0647275,#DIV/0!,#DIV/0!,0.0852265
CG10639-RA,0.589135,0.500525,0.628395,0.3737,0.447295,0.68696,0.424035,0.408295
,0.76863,0.989075,0.716685,1.00856,0.598055,0.512225,0.88493,0.64679
Egm,0.3658,0.459385,0.392585,0.4596,0.359885,0.370175,0.38189,0.433245
CG33672-RA,1.06555,1.4443,0.9448,1.3081,1.346,0.822725,1.0281,1.30175
BcDNA.GH02220,1.2466,1.33745,1.17503,1.30695,2.09825,1.40855,1.6129,1.973
ref(2)P,1.32065,0.75105,0.92229,0.9323,0.35866,1.2214,0.691405,0.34545
GckIII,0.4716,0.575795,0.330045,0.51107,0.75951,1.1817,0.68742,0.706335
,3.80875,2.6053,3.6952,2.29025,1.77285,3.3463,1.9959,1.95075
TpnC25D,3.18825,2.9343,3.3257,2.6548,2.30915,2.97695,2.5147,2.39305
ATPsyn-d,2.407,1.4324,1.98,1.4604,1.56215,2.2538,1.63765,1.53555
AP-2mu,0.48129,0.530145,0.530495,0.53056,0.438375,0.552155,0.57316,0.466315
,1.52515,1.07275,1.28225,1.08405,0.734795,1.4174,1.096,0.747835
Cyp1,1.088105,1.2422,0.97314,1.21295,1.13105,1.12085,1.18425,1.23215
ergic53,0.75478,1.41485,0.701295,1.3662,1.4961,0.72381,1.64005,1.5151
exba,0.30994,0.73576,0.29462,0.735415,0.8303,0.37472,0.79277,0.768025
Atox1,2.0201,1.9122,2.575,1.7564,2.24215,2.0804,1.688,2.13195
fau,1.53975,2.78905,1.4053,3.2123,2.82585,1.15435,3.08635,2.8909
Prosalpha7,0.68409,1.37845,0.708535,1.34035,1.43325,0.638955,1.42635,1.47805
rgn,1.53715,1.8885,1.1572,1.929,1.6491,1.335,1.9904,1.8156
CG3961-RD;CG3961-RA,0.18454,0.23899,0.254725,0.23031,0.243045,0.20871,0.2077,0.238725
sgg,0.357475,0.46065,0.494325,0.45561,0.383495,0.433965,0.506055,0.39667
Rh50,0.68817,0.645445,1.668275,1.0059,0.621905,1.041935,0.9418,0.615185
Hel25E,0.367335,0.700005,0.41803,0.65659,0.68982,0.418465,0.75443,0.65791
CG1513-RA,0.568695,0.44791,0.37743,0.448345,0.34875,0.45909,0.55218,0.85183
,0.75261,0.738915,1.3476,0.847635,0.72491,0.808115,0.859905,0.753195
Rho1,0.56735,0.762645,0.66355,0.84089,0.66683,0.75374,0.72353,0.6811
janA,1.16015,1.27555,1.2795,1.38115,1.35445,0.99532,1.3896,1.2425
,0.369915,0.27364,15.817,0.677185,0.40922,0.423695,0.41613,0.445015
CkIIalpha,0.76319,1.18315,0.866525,1.1174,1.1044,0.916695,1.12175,1.21695
und,0.205295,0.43844,0.20773,0.41947,0.421595,0.30346,0.324195,0.47053
Phm,1.39935,1.4888,1.2307,1.25445,1.2344,1.4361,1.42855,1.76265
CG34327-RA,0.42773,1.55285,0.34736,1.48615,2.18645,0.307015,1.74105,2.11815
,0.238335,1.06615,0.25252,1.03246,1.76525,0.243055,1.146565,2.16615
,1.90225,0.6154,1.61385,0.478245,1.13505,3.6654,0.72941,1.2547
,1.36005,3.39045,0.610075,3.25225,3.4061,0.83686,3.27975,3.4063
Hrb98DE,1.4898,2.5222,1.298,2.54645,2.665,1.3867,2.39825,2.55135
Bsg,1.5499,1.4423,1.5669,1.44805,1.2162,1.6565,1.53165,1.30065
,2.17265,1.21625,2.28595,1.028905,1.3539,2.00635,1.4119,1.424
mbf1,0.616125,0.93412,0.51083,1.1313,0.941535,0.530955,1.146,1.1391
,0.58192,0.943265,0.63431,0.89696,0.892285,0.631465,0.859515,0.957495
CG9603,3.433,2.5043,3.6383,2.4222,1.96935,2.89805,2.08125,1.9154
CG6950-RC,0.71994,0.579175,0.659315,0.48579,0.415965,0.705445,0.458525,0.41068
,0.837505,0.817875,0.904275,0.758325,0.92679,0.929745,0.684835,0.9369
Roe1,0.842395,0.95647,0.72633,1.090225,1.1813,0.76625,0.97218,1.152
,0.43938,1.07855,0.404745,1.1299,1.111,0.35675,1.2314,1.1376
Rpn5,0.120765,0.257415,0.12991,0.27588,0.34958,0.11715,0.301055,0.32523
Mlc1,1.3573,0.9865,1.17425,0.92523,1.03509,1.10615,1.1031,0.981545
,0.788295,0.71588,0.66331,0.76881,0.62904,0.68265,0.76329,0.69249
Nrg,0.69702,1.1214,0.731445,1.1259,0.95973,0.708305,1.0413,0.98862
,1.98635,0.73575,1.7905,0.540255,0.487875,1.654,0.475515,0.459235
nop5,0.433815,0.89203,0.503025,0.79467,0.61898,0.41339,0.850285,0.630995
CG3107,0.18859,0.203145,0.2838,0.246615,0.24806,0.25035,0.26197,0.27481
CG16817,0.76704,1.2395,0.728715,1.22065,1.4802,0.71005,1.23005,1.3996
Pgk,0.942945,0.591375,0.961715,0.602485,0.63956,1.010325,0.668165,0.634155
ben,1.1631,1.39345,1.12267,1.42015,1.3199,1.16215,1.3349,1.32195
Lsd-2,0.486795,0.60258,0.48503,0.54983,0.689675,0.49091,0.69138,0.67591
mtacp1,3.7748,1.7322,2.4877,1.62805,1.64625,3.00375,1.82695,1.8962
CG6972-RA,0.307005,0.847935,0.271845,1.1681,0.99113,0.330435,1.08345,0.832155
nmd,0.43833,0.80943,0.40226,#DIV/0!,0.55079,0.37337,#DIV/0!,0.54339
CG4692,3.81815,2.3556,3.26685,2.4806,2.593,4.23855,2.62755,2.669
VhaSFD,0.42937,0.45676,0.549365,0.41408,0.33622,0.53583,0.41199,0.360735
CG5174-RA,1.59585,1.89095,1.50105,1.7136,1.6671,1.35005,1.6198,1.64055
l(2)06225,2.07175,1.21865,1.5758,1.30985,1.27295,1.69225,1.3895,1.3409
Pdh,0.961805,0.586975,1.041,0.531375,0.57286,1.076215,0.50969,0.53506
tau,1.53895,1.8124,1.5217,1.85145,1.5694,1.61285,1.7485,1.60035
ps,0.48634,0.83394,0.52976,0.867405,0.952975,0.4714,0.856965,0.968665
,0.62031,1.46675,0.176845,0.932265,2.75085,0.197305,2.20195,2.66745
,3.09645,1.9572,2.48345,1.84265,1.6587,2.6694,2.2542,1.64285
wdp,2.93885,1.77795,2.0158,1.7979,1.45155,2.3395,1.7375,1.42575
TER94,0.196225,0.37171,0.20254,0.382535,0.37748,0.213915,0.392135,0.37851
CG5412,0.82609,0.785105,1.34434,0.59156,0.618345,0.824945,0.80537,0.602
fau,0.53543,1.26135,0.384445,1.22375,1.1797,0.424575,1.25255,1.25075
Spase22-23,1.2867,1.79075,1.1942,2.31435,1.87115,1.2385,1.78795,1.61995
Mdh2,1.2877,0.71091,1.2132,0.708565,0.676665,1.32325,0.70844,0.650035
path,0.50113,0.82149,0.72203,0.56593,0.47481,0.71846,0.719,0.55019
Rad23,0.517295,0.989655,0.51147,0.85065,1.022145,0.44598,0.945495,0.91497
Spn27A,1.76985,2.73805,1.72795,2.4185,2.071,2.0094,2.3193,1.9899
Eno,1.1062,0.646195,0.963905,0.648855,0.67671,1.0757,0.719655,0.68815
blp,2.6887,2.15345,1.93425,2.3187,2.6745,2.4515,2.18935,3.04835
Lasp,0.444545,0.56365,0.42667,0.57119,0.65059,0.43351,0.57155,0.65252
,1.38275,0.954445,1.5965,0.922375,0.771555,1.3289,0.861095,0.802755
,1.4686,1.37825,1.4998,1.4048,1.1479,1.57855,1.2975,1.15855
Pp2B-14D,0.529655,0.516695,0.588925,0.55967,0.46496,0.586505,0.499025,0.514395
scu,1.2446,1.06385,1.35655,0.841095,0.858685,1.5373,0.88903,0.8423
wupA,2.88585,2.17265,2.86695,3.37655,1.79085,2.5734,1.6293,1.7309
,2.1446,1.66985,3.30235,1.71255,1.10875,#DIV/0!,1.723,0.97981
Cpr76Bd,0.402265,1.56375,0.195905,1.34575,1.53115,0.265095,1.39835,1.51815
,0.7735,0.523935,0.81866,0.51565,0.473775,0.880645,0.541855,0.46866
Ucrh,3.0752,1.85975,2.46125,1.47715,1.5614,3.60955,1.97365,2.1384
uex,0.43522,0.492545,0.60269,0.473515,0.518585,0.473245,0.533845,0.472645
Caps,0.235445,0.21109,0.256475,0.29387,0.221955,0.25766,0.276565,0.256845
,1.93685,2.73265,1.6412,2.77715,2.6754,1.64675,2.60635,2.8785
5PtaseI,0.37109,0.342975,0.41407,0.295195,0.30792,0.310065,0.453435,0.35202
Unc-115b;Unc-115a,0.21903,0.31112,0.344925,0.319875,0.196995,0.20074,0.24788,0.2028
,0.986125,1.139,1.33695,1.0537,0.792545,1.5017,1.07725,0.72278
trp,0.31406,0.38,0.41813,0.34822,0.402475,0.447685,0.380325,0.420085
vps24,1.133,1.7155,1.42205,1.72535,1.2466,1.5858,1.52565,1.186645
betaCop,0.283665,0.36016,0.305955,0.39273,0.369715,0.227945,0.383135,0.3968
,3.28215,1.7932,2.8913,1.95375,1.9019,3.4946,1.98375,1.82155
Vha36-3,2.88445,2.165,2.7201,2.4488,1.9644,2.679,2.3691,2.16125
,0.63112,0.81604,0.55472,0.885395,0.80094,0.69825,0.90642,0.81131
Pros29,0.51275,1.0608,0.498635,1.1312,1.129,0.477405,1.1538,1.11145
CG3842-RA,0.352385,#DIV/0!,0.367025,#DIV/0!,0.50864,0.271045,0.366455,0.43183
,0.31725,0.54821,0.28789,0.539025,0.56788,0.34927,0.47795,0.532355
eIF3-S10,0.24904,0.477985,0.24048,0.53622,0.611695,0.240335,0.503015,0.54917
Ugt86Da,2.79955,2.97285,2.8486,2.41845,2.19025,3.11785,2.47685,1.9723
,1.28395,1.75635,1.2524,1.94625,1.8909,1.02666,1.8118,1.845
,2.95295,1.25125,3.03355,1.157,1.2859,3.7218,1.44195,1.2366
lost,0.427365,0.680565,0.425475,0.723015,0.851975,0.442775,0.76065,0.84627
CG2145,0.826695,1.2256,0.7762,1.2429,1.16935,0.91006,1.0716,1.04892
CaBP1,0.51265,0.876065,0.43211,0.930165,1.00041,0.46781,1.12995,1.000755
Tim13,2.8609,1.98985,2.03415,2.44165,2.14955,2.27635,2.1632,2.1438
Hrs,0.56482,0.723495,0.507795,0.775135,0.67631,0.65246,0.696515,0.7057
Vinc,0.175385,0.335175,0.163445,0.320255,0.297395,0.199195,0.358645,0.30936
NLaz,1.057015,1.6935,1.1408,1.9348,1.64655,0.93782,2.13655,1.66495
DppIII,0.28733,0.47116,0.29438,0.45712,0.49216,0.301045,0.49894,0.46554
TSG101,0.593005,0.728745,0.56592,0.798275,0.536035,0.65679,0.90884,0.62147
Ncc69,0.39459,0.34046,0.51951,0.30452,0.237665,0.416605,0.343645,0.254445
yip2,1.0379,0.861065,1.02738,0.7172,0.616755,1.07965,0.782,0.577955
Fatp,0.498575,0.764195,0.498845,0.63903,0.732505,0.605305,0.808765,0.72635
zip,0.160365,0.396685,0.164665,0.3838,0.398025,0.14528,0.37534,0.37078
Cyp12b2,1.008765,0.57646,#DIV/0!,0.30557,0.67102,1.0157,0.35831,0.6494
Vha68-1,0.775545,0.77938,0.83183,0.78897,0.617565,0.871395,0.792865,0.66302
Sar1,0.807305,1.0622,0.780795,1.1313,1.1717,1.009185,1.2097,1.1173
Prx3,1.2249,1.0346,1.37355,1.065035,1.007685,1.26015,1.03275,0.957075
,2.10705,1.6208,1.8411,1.4722,1.5179,2.4068,1.6356,1.53215
Fech,0.609455,0.50952,0.542375,0.46687,0.39806,0.72399,0.53261,0.416935
cpa,0.99885,1.83685,0.851865,1.47545,1.34795,1.02598,1.5629,1.55425
bcn92,3.2182,2.2842,2.31815,2.0272,1.8976,2.85195,2.2294,2.14955
,1.3521,0.76827,1.1747,0.785325,0.767085,1.4432,0.840255,0.77867
gho,0.144745,0.214835,0.209805,0.214605,0.227715,0.17975,0.21055,0.234755
fabp,2.81465,2.74985,2.8106,2.3845,2.60115,2.6385,2.186,2.5754
Nop60B,0.642135,0.976935,0.46085,1.4558,1.17555,0.64402,0.988725,1.05945
Fas3,1.29485,2.349,1.4225,2.40775,2.3631,1.2137,2.0985,2.69335
Hsp83,0.25281,0.60523,0.250895,0.669535,0.64122,0.27592,0.66066,0.650365
ATPsyn-b,1.2041,0.766995,1.06696,0.713155,0.774095,1.2346,0.84137,0.765605
Ubc-E2H,0.778995,1.35325,0.588715,1.5702,1.7489,0.76614,1.4409,1.52815
Pros45,0.4094,0.9363,0.365425,1.00916,1.13655,0.376525,1.08535,1.1024
Lmpt,0.20355,0.42386,0.270385,0.421465,0.367955,0.2404,0.454815,0.37428
AnxB10,1.6627,1.24675,1.72035,1.26815,0.93508,1.65645,1.15465,0.98374
endos,0.956665,1.08535,0.839995,1.1272,1.0065,0.89457,1.15275,1.097215
eIF-4a,0.29741,0.565895,0.322475,0.595715,0.708985,0.320115,0.67169,0.635195
Vps4,0.691045,0.83507,0.655605,0.646835,0.56667,0.673735,0.701735,0.581805
CG33090,0.30814,0.238225,0.34357,0.44251,1.0918,0.61554,0.53655,1.0487
Hsp60,0.775735,1.50925,0.701085,1.6881,1.724,0.726235,1.81145,1.6604
,2.12955,1.873,1.888,1.6278,2.00285,1.80435,1.6499,2.0857
wupA,2.28835,2.3335,2.2377,2.5798,2.41505,2.20595,2.54555,2.5569
RpL17,0.310795,0.691825,0.26676,0.71333,0.915055,0.31273,0.7385,0.91501
cindr,0.512045,#DIV/0!,0.734,0.48732,0.50126,0.8128,0.42013,0.48087
CG17737,0.67238,1.0325,0.67623,1.12445,1.16935,0.69168,0.9174,1.13175
BG:DS00180.3,1.013905,1.8619,1.05195,1.82895,2.451,1.010505,1.97385,2.32465
EfTuM,0.52458,0.542265,0.47114,0.54782,0.47006,0.54008,0.61003,0.471195
CSN7,0.64482,1.0837,0.98585,#DIV/0!,1.11755,0.645975,#DIV/0!,0.921405
e,0.21113,0.267285,0.29425,0.236285,0.23714,0.21487,0.23843,0.27584
,0.804945,1.33525,1.6815,1.0051,1.23055,1.28115,1.08735,0.920745
Cand1,0.29646,0.18765,0.28783,0.192675,0.247095,0.259125,0.27067,0.211685
,0.93835,1.5822,0.800735,1.41395,1.543,0.768285,1.43345,1.3437
,0.436825,1.079885,0.47473,0.88991,1.19035,0.46075,0.975155,1.05617
AP-2alpha,0.28226,0.24535,0.27691,0.234225,0.20399,0.266615,0.26424,0.22672
pAbp,0.42429,0.798345,0.413745,0.80026,0.89636,0.421975,0.807495,0.800225
Ykt6,1.35345,1.4934,1.45775,1.62355,1.27085,1.1692,1.31855,1.4254
CG10217-RA,0.51777,0.81604,0.608805,0.66163,0.72773,0.677,0.78336,0.78774
Rpn11,0.35705,0.810015,0.34807,0.85497,1.05085,0.398755,0.97534,0.995075
Pp2A-29B,0.248565,0.356215,0.2214,0.36062,0.333785,0.26419,0.36314,0.348885
HIP-R;HIP,0.372025,0.853945,0.399095,0.830335,0.950695,0.3713,0.92502,0.976345
caz,1.25965,2.10645,1.2489,1.97115,2.01625,1.2139,1.77785,2.08145
,0.715755,0.44411,0.42954,0.36828,0.41948,0.66999,0.496445,0.415935
eIF-2gamma,0.218355,0.367965,0.205755,0.470635,0.418335,0.18288,0.447395,0.3798
CG13349;Rpn13,0.54005,1.25205,0.50433,1.3993,1.3659,0.49574,1.2772,1.35885
Psa,0.182885,0.29712,0.216555,0.275685,0.32128,0.19264,0.34169,0.29272
,0.78176,0.61727,0.61463,0.729145,0.623405,0.80696,0.66258,0.62264
,1.2259,0.54935,1.53435,0.462715,0.500605,1.51005,0.42269,0.491175
Gp210,0.393005,0.624025,0.450035,0.496075,0.59689,0.480645,0.46132,0.55391
Cpr100A,1.03694,2.7279,1.01385,3.23325,4.5835,1.02875,3.38065,4.5631
RpS8,0.566195,1.2373,0.479665,1.3625,1.65865,0.60097,1.32375,1.76275
Lamp1,1.5177,1.95705,1.42015,1.7432,1.4081,1.52715,1.9528,1.46835
Rpn7,0.309675,0.82447,0.310105,0.89842,1.059,0.350325,0.848605,0.98352
Etf-QO,0.483085,0.33598,0.47737,0.27413,0.2797,0.49799,0.297185,0.27041
Ssb-c31a,1.74315,1.66025,1.3132,1.7352,1.29645,1.97885,1.46695,1.23765
,1.58945,1.24905,1.50235,1.16205,1.06405,1.47225,1.11195,0.96393
,1.1109,0.906505,1.045265,0.77647,0.68747,1.08695,0.781025,0.68933
,0.64951,0.839215,1.074505,0.874985,0.74427,0.728575,0.74781,0.646675
Sip1,1.000875,1.331,0.747055,1.1647,1.2837,0.812625,1.16395,1.1644
Dms,2.98185,1.75295,2.2792,1.52645,0.520615,3.04835,1.0558,0.513955
,2.44825,2.5536,1.6251,2.12,2.4276,1.88255,2.12255,2.3365
Pex19,1.6787,2.1889,1.43305,2.47105,2.45105,1.4183,2.5397,2.35845
