Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
mRpS22,0.51268,0.88494,0.544415,1.07215,1.9289,0.598575,1.2125,1.5118
EG:132E8.3,2.1902,1.35325,#DIV/0!,1.6751,2.0358,1.82925,1.51035,1.7307
tsu,1.15495,1.8307,1.074235,1.84295,2.1093,1.1441,1.677,1.57825
LSm3,1.92285,2.33655,1.15285,1.87155,2.1256,1.4516,2.5187,2.36095
,1.4292,0.683675,1.16225,0.838825,2.2077,2.7626,0.490745,0.58538
twr,1.11385,1.91605,1.230025,1.88785,2.1055,1.2561,1.95605,1.9975
,0.655755,1.3346,0.672925,1.36045,2.3254,0.587815,1.14125,1.72255
Tim8,#DIV/0!,2.2321,2.2123,1.7669,2.4792,2.3997,2.1205,2.15255
,2.5208,1.8548,2.3866,2.0175,2.48585,2.2148,2.31335,2.4566
CG34191,1.22685,1.7269,1.20965,1.49105,2.597,1.08145,1.6408,1.9479
,0.658975,1.1801,0.475645,1.1338,2.5976,0.62007,1.59575,1.80785
GstE7,6.6618,2.8624,4.4885,1.3011,2.6043,2.7171,2.2297,3.03425
mRpS9,0.448155,0.84724,0.363455,1.02855,2.6114,0.40594,1.07715,1.4416
Tor,1.25025,0.62376,1.0448,0.67929,2.9423,1.8601,0.72694,0.41719
mRpL40,0.703305,1.631,0.419455,1.5521,3.2731,0.422755,1.7482,2.5546
,2.27915,2.7569,1.725,3.3519,3.7108,2.71625,2.97875,4.96735
,2.64875,2.007,1.14405,1.62535,3.04075,1.67651,1.91865,1.8228
CalpB,0.705385,0.81072,0.54432,1.1332,4.8057,1.00582,0.64168,0.825185
,4.61725,5.1315,4.0047,4.5129,6.0658,5.98955,5.85585,6.3377
Hsp67Bc,0.48064,2.42325,0.48251,3.0822,7.3337,0.52582,2.61505,5.91395
Obp83b,14.934,3.8815,#DIV/0!,5.582,7.5233,6.24335,1.9266,3.28315
,5.3468,2.6302,3.7468,2.5294,8.7083,4.8859,1.020645,2.38845
CG12896-RA,4.01325,5.8236,3.37045,5.8113,9.4959,4.78115,5.4101,6.3355
,4.4363,8.1023,8.05255,4.2388,20.466,3.87885,5.2829,3.3512
MESR6,0.26352,#DIV/0!,4.4365,#DIV/0!,0.080067,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.18303,#DIV/0!,#DIV/0!,#DIV/0!
skpB,#DIV/0!,0.26996,0.569025,0.24429,0.19817,#DIV/0!,0.31548,0.77906
Cp36,#DIV/0!,0.213635,#DIV/0!,#DIV/0!,0.23715,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,1.2356,#DIV/0!,#DIV/0!,0.24137,#DIV/0!,#DIV/0!,#DIV/0!
Spn88Eb,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.36097,#DIV/0!,#DIV/0!,#DIV/0!
smid,0.3128,#DIV/0!,0.60358,0.60435,0.243625,0.47409,0.27365,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.270325,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,1.0418,0.985995,0.663655,#DIV/0!,#DIV/0!,#DIV/0!
CG13759-RA,#DIV/0!,0.45203,0.57235,#DIV/0!,0.28396,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.28493,#DIV/0!,#DIV/0!,#DIV/0!
,0.22977,#DIV/0!,0.18487,#DIV/0!,0.207475,#DIV/0!,0.78429,#DIV/0!
Nc73EF,0.39776,0.2334,0.44974,#DIV/0!,0.33775,#DIV/0!,#DIV/0!,#DIV/0!
Nup93-1,0.29977,0.60878,0.41915,#DIV/0!,0.404465,0.94174,0.457335,#DIV/0!
CG31534-RB,0.43844,#DIV/0!,#DIV/0!,#DIV/0!,0.31849,#DIV/0!,#DIV/0!,#DIV/0!
CG17544-RA,0.515995,0.45514,0.29237,#DIV/0!,0.32676,0.223215,#DIV/0!,#DIV/0!
Cyp6a17,0.63487,0.63421,0.27356,0.80566,0.35435,#DIV/0!,0.69914,#DIV/0!
sec8,0.304085,#DIV/0!,#DIV/0!,#DIV/0!,0.35075,#DIV/0!,#DIV/0!,#DIV/0!
GluClalpha,0.27756,0.52488,0.33266,0.70077,0.32448,0.39989,0.77944,#DIV/0!
Ppat-Dpck,1.1858,0.70683,0.24898,0.86775,0.37034,0.94243,#DIV/0!,0.28421
CG1598,0.41063,0.61539,0.5356,0.446735,0.67567,0.491565,0.563995,#DIV/0!
Pak3,#DIV/0!,#DIV/0!,0.24155,#DIV/0!,0.37962,#DIV/0!,#DIV/0!,#DIV/0!
ABCB7,#DIV/0!,0.375655,0.445765,0.484495,0.35912,#DIV/0!,0.45903,#DIV/0!
O-fut1,#DIV/0!,#DIV/0!,0.32506,#DIV/0!,0.39632,0.21304,0.59629,#DIV/0!
sec24,0.63074,0.37043,0.205065,#DIV/0!,0.40224,0.29481,#DIV/0!,#DIV/0!
CanA-14F,0.39016,0.348265,0.63922,0.56097,0.40403,0.650455,0.76625,#DIV/0!
,0.370225,0.51948,#DIV/0!,0.38747,0.42996,#DIV/0!,#DIV/0!,#DIV/0!
zetaCOP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.44703,#DIV/0!,#DIV/0!,#DIV/0!
Cg25C,0.57751,0.39071,0.5267,0.64156,0.487045,#DIV/0!,0.681785,#DIV/0!
CG30185;Gr59f,0.84864,#DIV/0!,#DIV/0!,#DIV/0!,0.46893,#DIV/0!,#DIV/0!,#DIV/0!
RanGap,0.40077,0.57193,0.51276,0.36455,0.47731,0.41925,0.70576,#DIV/0!
Ac76E,#DIV/0!,#DIV/0!,#DIV/0!,0.49949,0.4858,#DIV/0!,#DIV/0!,#DIV/0!
TotM,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.58344,#DIV/0!,#DIV/0!,#DIV/0!
CG11583,#DIV/0!,#DIV/0!,0.38988,#DIV/0!,0.52176,#DIV/0!,0.46085,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.51042,#DIV/0!,#DIV/0!,#DIV/0!
Pi4KIIalpha,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.514,#DIV/0!,#DIV/0!,#DIV/0!
uif,0.21465,2.8238,0.25023,0.98461,0.922555,0.24074,0.755135,#DIV/0!
CG6136,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.53295,#DIV/0!,#DIV/0!,#DIV/0!
CG4538-RA,0.385045,0.50917,0.3726,0.4188,0.70158,0.38468,0.919955,#DIV/0!
CG42486-RA,0.84157,0.610445,#DIV/0!,0.71905,0.520695,#DIV/0!,0.53969,#DIV/0!
Jheh3,#DIV/0!,0.81406,#DIV/0!,1.01687,0.54785,#DIV/0!,0.5489,0.57382
GS,0.39504,#DIV/0!,#DIV/0!,#DIV/0!,0.55531,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.56333,#DIV/0!,0.726285,#DIV/0!
RhoGAP100F,0.337195,#DIV/0!,0.64538,0.827585,0.499545,0.48462,#DIV/0!,#DIV/0!
HtrA2,0.89396,0.74457,1.3726,#DIV/0!,0.59938,#DIV/0!,0.60996,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.63092,#DIV/0!,#DIV/0!,#DIV/0!
CG15187,0.383055,0.953195,1.0163,#DIV/0!,0.76305,0.866965,1.2105,#DIV/0!
,#DIV/0!,0.62643,#DIV/0!,#DIV/0!,0.69973,0.49025,#DIV/0!,#DIV/0!
CG15617-RA,#DIV/0!,0.59932,#DIV/0!,0.61333,0.74767,#DIV/0!,1.18695,#DIV/0!
Moca-cyp,0.48782,#DIV/0!,0.56103,#DIV/0!,0.76882,#DIV/0!,#DIV/0!,#DIV/0!
Patronin;ssp4,1.5595,#DIV/0!,0.76826,1.1816,0.77522,#DIV/0!,#DIV/0!,#DIV/0!
CG17837,#DIV/0!,#DIV/0!,#DIV/0!,0.83456,0.567845,#DIV/0!,#DIV/0!,#DIV/0!
Ras64B,0.46705,0.807455,0.527175,0.89268,0.734175,#DIV/0!,0.75006,#DIV/0!
AP-1mu,0.609465,0.76346,0.53938,0.8309,0.83053,0.50956,1.0095,0.57807
,0.720225,1.1284,#DIV/0!,1.42455,0.85696,1.397715,0.91392,0.7795
,0.95197,0.93901,#DIV/0!,#DIV/0!,0.88532,#DIV/0!,#DIV/0!,#DIV/0!
,1.05133,1.03,1.0855,1.09255,0.790215,1.4298,0.97662,#DIV/0!
,#DIV/0!,0.69065,1.5865,0.71027,0.73255,#DIV/0!,0.92836,#DIV/0!
l(2)35Bg,0.50633,0.63164,#DIV/0!,0.76544,0.898535,#DIV/0!,0.49333,#DIV/0!
usnp,0.71423,1.0085,0.86109,0.80874,0.87916,0.65982,0.84122,#DIV/0!
aru,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.93832,#DIV/0!,#DIV/0!,#DIV/0!
Dcp1,0.36166,#DIV/0!,0.57295,0.66981,0.93909,0.524605,#DIV/0!,#DIV/0!
TwdlBeta,#DIV/0!,#DIV/0!,0.95911,#DIV/0!,0.94713,1.0837,#DIV/0!,#DIV/0!
RIC-3,0.865595,0.93975,0.81171,1.1416,1.492985,1.09346,1.2779,#DIV/0!
sgl,0.33235,0.446335,0.933565,0.57577,0.98091,1.0286,#DIV/0!,#DIV/0!
,13.681,#DIV/0!,#DIV/0!,#DIV/0!,0.89429,#DIV/0!,#DIV/0!,#DIV/0!
Srp14,0.736315,#DIV/0!,0.68917,1.0919,1.0886,0.6148,#DIV/0!,#DIV/0!
Rox8,0.48701,0.69464,0.683145,3.858445,1.0901,0.363855,0.676,#DIV/0!
,0.53356,#DIV/0!,#DIV/0!,1.39492,1.1255,0.430695,#DIV/0!,#DIV/0!
slik,0.207397,#DIV/0!,0.44686,#DIV/0!,1.1594,1.2644,#DIV/0!,#DIV/0!
Gos28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.2257,0.67866,#DIV/0!,#DIV/0!
PPP4R2r,0.71859,1.0891,0.67614,#DIV/0!,1.2392,#DIV/0!,#DIV/0!,#DIV/0!
dally,0.931615,1.0139,#DIV/0!,1.1407,1.2483,0.71836,0.90746,0.98282
CG33506-RA,0.958435,1.2943,0.880025,1.4318,1.2643,0.822725,1.4937,1.1734
nero,#DIV/0!,0.68676,#DIV/0!,#DIV/0!,1.2751,#DIV/0!,#DIV/0!,#DIV/0!
nrm,1.0549,1.6117,#DIV/0!,#DIV/0!,1.2819,0.8347,1.3981,1.2911
,0.66984,1.2234,1.6089,#DIV/0!,1.3612,#DIV/0!,1.2722,#DIV/0!
Ccp84Ag,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.4364,#DIV/0!,#DIV/0!,#DIV/0!
mRpL46,0.41806,0.71818,0.69431,0.97321,1.4504,0.31936,1.1817,1.3371
,1.220675,1.47845,0.79963,0.92797,1.5597,0.944735,1.1272,1.0158
mRpL50,0.75197,#DIV/0!,0.75072,1.4274,1.5649,0.761155,#DIV/0!,#DIV/0!
,0.702615,#DIV/0!,0.73958,1.3096,1.5688,#DIV/0!,#DIV/0!,#DIV/0!
Obp57a,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.5788,#DIV/0!,#DIV/0!,#DIV/0!
mrj,#DIV/0!,#DIV/0!,1.0498,1.2091,1.6012,#DIV/0!,1.0505,#DIV/0!
CG5532,1.56835,1.3607,1.8112,1.3523,1.67115,1.54925,#DIV/0!,#DIV/0!
,0.65659,0.88364,0.79771,1.25655,1.6924,0.66847,1.1039,1.2509
,1.4216,1.4146,1.5408,#DIV/0!,1.7038,1.6043,1.8422,1.3722
,0.878995,#DIV/0!,#DIV/0!,1.1741,1.66025,0.90078,1.0223,#DIV/0!
